lufs,rms,crest_factor,bass_energy,mid_energy,high_energy,clipping_ratio,url
-17.07,0.127901,5.11,20.52424,3.625088,0.863639,0.0,https://www.youtube.com/watch?v=4yItxoATmq4
-20.91,0.0793,6.34,11.356906,2.592167,0.168865,0.0,https://www.youtube.com/watch?v=WE-dVLuKC1w
-10.4,0.295673,3.98,54.987038,7.940383,1.834794,0.000107,https://www.youtube.com/watch?v=5M1p08ooPro
-13.68,0.20492,4.59,39.437466,4.61375,1.109398,0.0,https://www.youtube.com/watch?v=jgm3VT5P6ow
-11.88,0.234142,4.23,19.426054,7.912508,0.671373,0.0,https://www.youtube.com/watch?v=HpVdMxWWxDo
-17.77,0.107129,8.63,1.226413,3.513626,0.208815,0.0,https://www.youtube.com/watch?v=SW_zFWhtkPM
-18.52,0.090215,8.77,6.956713,2.418835,0.196804,0.0,https://www.youtube.com/watch?v=8Y8QYaHLDpo
-13.31,0.225152,4.75,45.669575,4.708567,0.786651,2.5e-05,https://www.youtube.com/watch?v=4L0nNgqacig
-13.91,0.187246,5.61,28.010727,5.314656,0.866575,6e-06,https://www.youtube.com/watch?v=_6WCYzIczwc
-13.83,0.18544,5.62,26.521614,5.662198,1.304149,0.0,https://www.youtube.com/watch?v=EFqBI3gKiBI
-16.7,0.136606,6.15,16.39185,4.791972,0.695954,0.0,https://www.youtube.com/watch?v=4MB0CmrADaU
-19.85,0.095331,7.04,10.524215,2.702964,0.583179,0.0,https://www.youtube.com/watch?v=YZ6oKE47soQ
-14.9,0.167367,5.36,28.49106,5.317412,0.962728,0.0,https://www.youtube.com/watch?v=JPdm1AskDfc
-12.49,0.177506,5.46,16.89369,6.683281,0.659812,0.0,https://www.youtube.com/watch?v=U0-iZ-MXM34
-12.53,0.221425,4.38,33.418015,7.285224,0.61158,0.0,https://www.youtube.com/watch?v=5f5eiLOLIpg
-19.47,0.102914,8.36,16.943964,2.958329,0.332936,0.0,https://www.youtube.com/watch?v=A9UdCLGvjXg
-20.11,0.094682,8.58,15.770008,2.394787,0.259636,0.0,https://www.youtube.com/watch?v=JmP89cIGJZM
-13.63,0.209505,3.84,31.863714,6.7678,0.989951,0.0,https://www.youtube.com/watch?v=hEKJnaHwihw
-15.99,0.154991,4.33,20.655785,4.663318,0.406597,0.0,https://www.youtube.com/watch?v=iUXs4Nt3Y7Y
-15.15,0.1693,4.3,24.669384,5.57728,0.543666,0.0,https://www.youtube.com/watch?v=275IksF2fQM
-17.17,0.143547,5.02,19.764664,3.129198,0.286046,0.0,https://www.youtube.com/watch?v=HjF3E2zGNkg
-18.07,0.119954,6.46,15.294504,3.320142,0.438548,0.0,https://www.youtube.com/watch?v=mt0x6Wa1qnQ
-12.34,0.242794,4.1,40.339657,6.55509,0.996936,0.0,https://www.youtube.com/watch?v=LF9cETQM1OM
-13.0,0.217862,4.98,31.144222,6.991042,0.601076,9.3e-05,https://www.youtube.com/watch?v=Qe65zY__1AI
-16.46,0.158748,6.01,34.558304,4.031027,0.209882,0.0,https://www.youtube.com/watch?v=rX5CSpz8b6g
-12.56,0.240191,4.16,43.21692,5.409598,0.877196,0.0,https://www.youtube.com/watch?v=I-xXuJcfimg
-11.01,0.289758,4.06,58.183487,6.674816,1.824278,0.000987,https://www.youtube.com/watch?v=-KaNg-CmxaY
-24.13,0.050247,10.05,4.214635,1.503197,0.232163,0.0,https://www.youtube.com/watch?v=qZ1H-e8Z-LY
-17.07,0.127557,5.75,2.278918,4.247758,0.146527,0.0,https://www.youtube.com/watch?v=RveuudeQC34
-12.62,0.239467,4.29,34.535233,5.236914,0.770181,6e-06,https://www.youtube.com/watch?v=RvIQLBWMVRI
-16.81,0.120467,6.08,15.862645,3.260464,0.564132,0.0,https://www.youtube.com/watch?v=f41rIgQF-Mw
-11.17,0.252263,4.07,29.191662,8.543212,1.528506,2e-06,https://www.youtube.com/watch?v=nHxam-MQg-o
-10.6,0.284664,4.13,32.659668,8.844831,0.849981,0.000165,https://www.youtube.com/watch?v=43S_qfT6vpo
-13.38,0.198419,4.06,35.927612,5.668164,0.867,0.0,https://www.youtube.com/watch?v=_6JijRQqR7A
-11.0,0.271441,4.14,37.15266,8.91298,1.500256,0.000456,https://www.youtube.com/watch?v=hwhobfnyWNE
-11.46,0.21547,5.35,26.613977,6.88696,1.199054,7.9e-05,https://www.youtube.com/watch?v=vIMAcOJx3tc
-14.69,0.179161,5.88,32.137306,4.435093,0.545369,7e-06,https://www.youtube.com/watch?v=gOweBNPpuoM
-15.75,0.17152,4.43,32.885323,4.343732,0.557557,0.0,https://www.youtube.com/watch?v=GQQPRv08H4w
-21.51,0.081289,7.49,12.73371,2.355348,0.455057,0.0,https://www.youtube.com/watch?v=TnKyvgoO_VI
-18.84,0.097716,8.47,12.7778,2.52212,0.219057,0.0,https://www.youtube.com/watch?v=IfAcrSwaeU0
-14.99,0.160954,5.99,20.85427,5.623986,1.026964,0.0,https://www.youtube.com/watch?v=8dvpUhOa9ek
-24.2,0.060989,6.49,10.745979,1.493105,0.249067,0.0,https://www.youtube.com/watch?v=cyblSDoRRxg
-13.07,0.193123,5.46,27.437672,5.82392,1.024221,1.6e-05,https://www.youtube.com/watch?v=nxzi2rlLifQ
-13.76,0.177828,5.58,22.956608,4.461351,0.788278,0.0,https://www.youtube.com/watch?v=oGn-k8qW8VM
-13.76,0.18326,5.03,24.44702,5.683469,0.990547,0.0,https://www.youtube.com/watch?v=by2E2m4thNM
-19.84,0.093566,6.17,14.714476,2.942754,0.498884,0.0,https://www.youtube.com/watch?v=BlF1Y2d4zkA
-10.92,0.249068,4.84,40.507717,7.89665,1.812845,0.000308,https://www.youtube.com/watch?v=E4FWb4cgXXk
-12.58,0.217536,4.9,33.66726,6.514828,1.420931,9e-06,https://www.youtube.com/watch?v=_23bbvq_WMs
-11.53,0.24675,5.12,36.796017,6.347044,1.571135,0.000407,https://www.youtube.com/watch?v=oDwXjF-zoxU
-10.12,0.289671,3.93,42.1518,9.471907,1.935711,8.2e-05,https://www.youtube.com/watch?v=8pm_7LQlMac
-11.23,0.239202,5.33,39.674603,6.307616,1.665579,0.000898,https://www.youtube.com/watch?v=LgzQ0AAPzZ4
-13.28,0.153995,7.58,25.064598,4.081845,0.741483,2.9e-05,https://www.youtube.com/watch?v=WzB3YOM9qA8
-19.05,0.113129,5.87,15.378131,3.47856,0.219252,0.0,https://www.youtube.com/watch?v=rTuZjTFWdfE
-14.95,0.187607,4.61,38.627495,4.491483,0.62105,0.0,https://www.youtube.com/watch?v=y8rBC6GCUjg
-11.7,0.254362,4.38,44.96954,7.528832,1.227071,9.2e-05,https://www.youtube.com/watch?v=AN4_DjGHl44
-14.56,0.188351,5.38,35.391808,4.343998,0.51145,0.0,https://www.youtube.com/watch?v=JoFb7bSRKLQ
-14.89,0.188175,5.29,35.81422,4.172422,0.397491,0.0,https://www.youtube.com/watch?v=FRnQgtDmLxo
-13.95,0.210169,4.86,41.999714,4.915409,0.366448,3e-06,https://www.youtube.com/watch?v=gG2AG4qqRz0
-15.19,0.180137,5.37,33.510963,4.07664,0.216321,0.0,https://www.youtube.com/watch?v=_NwsDh-QhG0
-16.62,0.158113,6.37,28.523333,2.952143,0.190557,1e-06,https://www.youtube.com/watch?v=2rITFuMqEYw
-18.74,0.10722,8.62,5.695919,2.334113,0.175841,0.0,https://www.youtube.com/watch?v=Q7m9PvL90n8
-16.14,0.151032,6.62,12.83578,2.909528,0.298391,1e-06,https://www.youtube.com/watch?v=cyQz_HDm-Is
-9.29,0.32714,3.72,58.303272,8.18409,1.779151,0.002349,https://www.youtube.com/watch?v=7v8dn8AUxUY
